ADBE,어도비
AMD,어드밴스드마이크로디바이시스
ABNB,에어비앤비
GOOGL,알파벳A
GOOG,알파벳C
AMZN,아마존닷컴
AEP,아메리칸일렉트릭파워
AMGN,암젠
ADI,아날로그디바이시스
AAPL,애플
AMAT,어플라이드머티어리얼즈
APP,앱러빈
ARM,암홀딩스
ASML,ASML홀딩
AZN,아스트라제네카
TEAM,앳라시안
ADSK,오토데스크
ADP,오토매틱데이터프로세싱
AXON,액손엔터프라이즈
BKR,베이커휴즈
BIIB,바이오젠
BKNG,부킹홀딩스
AVGO,브로드컴
CDNS,캐던스디자인시스템즈
CDW,CDW코퍼레이션
CHTR,채터커뮤니케이션즈
CTAS,신타스
CSCO,시스코시스템즈
CCEP,코카콜라유럽퍼시픽파트너스
CTSH,코그니전트테크놀로지솔루션즈
CMCSA,컴캐스트
CEG,콘스텔레이션에너지
CPRT,코파트
CSGP,코스타그룹
COST,코스트코홀세일
CRWD,크라우드스트라이크
CSX,CSX코퍼레이션
DDOG,데이터독
DXCM,덱스컴
FANG,다이아몬드백에너지
DASH,도어대시
EA,일렉트로닉아츠
EXC,엑셀론
FAST,패스널
FTNT,포티넷
GEHC,GE헬스케어테크놀로지스
GILD,길리어드사이언스
GFS,글로벌파운드리스
HON,허니웰인터내셔널
IDXX,아이덱스래보러토리스
INTC,인텔
INTU,인튜이트
ISRG,인튜이티브서지컬
KDP,큐릭닥터페퍼
KLAC,KLA코퍼레이션
KHC,크래프트하인즈
LRCX,램리서치
LIN,린데
LULU,룰루레몬애슬레티카
MAR,메리어트인터내셔널
MRVL,마벨테크놀로지
MELI,메르카도리브레
META,메타플랫폼스
MCHP,마이크로칩테크놀로지
MU,마이크론테크놀로지
MSFT,마이크로소프트
MSTR,마이크로스트래티지
MDLZ,몬델레즈인터내셔널
MNST,몬스터비버리지
NFLX,넷플릭스
NVDA,엔비디아
NXPI
ORLY,오라일리아토모티브
ODFL,올드도미니언프라이트라인
ON,온세미컨덕터
PCAR,패카
PLTR,팔란티어테크놀로지스
PANW,팔로알토네트웍스
PAYX,페이첵스
PYPL,페이팔홀딩스
PDD,핀둬둬홀딩스
PEP,펩시코
QCOM,퀄컴
REGN,리제네론파마슈티컬즈
ROP,로퍼테크놀로지스
ROST,로스스토어스
SHOP,쇼피파이
SOLS,솔라시스템즈
SBUX,스타벅스
SNPS,시놉시스
TMUS,T모바일US
TTWO,테이크투인터랙티브소프트웨어
TSLA,테슬라
TXN,텍사스인스트루먼트
TRI,톰슨로이터
TTD,더트레이드데스크
VRSK,베리스크애널리틱스
VRTX,버텍스파마슈티컬즈
WBD,워너브라더스디스커버리
WDAY,워크데이
XEL,엑셀에너지
ZS,지스케일러
